Вакансия,URL,Компания,Описание
Backend разработчик (Python),https://ekaterinburg.hh.ru/vacancy/31435676?query=python,ООО Сибирско-уральская медиакомпания,"Разработка API на Django. Перевод Backend’а сервисов компании на Django. Поддержка и запуск новых проектов URA RU. Технический английский на уровне чтения документации. Опыт разработки на Python, знание Django. Опыт работы с Git, MySQL, PostgreSQL. "
Backend Python Developer (junior/middle),https://ekaterinburg.hh.ru/vacancy/29523720?query=python,ООО Авгуро Технолоджис,"Back-end-разработчику предстоит реализовывать и развивать серверную часть веб-сервисов, принимая аналитические архитектурные решения, а также дорабатывать имеющуюся инфраструктуру. Умение писать чистый, аккуратный код. Требования для junior: Знание Python/Django/SQL на уровне написания рабочих скриптов с опытом от..."
Scala Developer (Java / C++ / С# / Python),https://ekaterinburg.hh.ru/vacancy/30260518?query=python, NAUMEN,"Реализация бизнес логики на Scala и немного Angular. Обсуждение задач и выбор оптимального пути решения. Реализация микросервисов и их интеграция... Опыт программирования на одном из языков: Scala, Java, C++, C#, Python. Опыт работы с базами данных - SQL. Понимание принципов создания..."
"Программист Python, Go",https://ekaterinburg.hh.ru/vacancy/27028401?query=python, Уральский центр систем безопасности,"Проектирование архитектуры компонентов, программных интерфейсов и методов интеграции с внешними сервисами, а также определение используемого технологического стека. Реализация проектов уровня... Понимание Python3, Python internals. Знание базовых структур данных и алгоритмов (queue, binary tree, etc). Реализация решений с минимумом багов..."
Стажер (Python),https://ekaterinburg.hh.ru/vacancy/27936505?query=python, Уральский центр систем безопасности,"...ТП (автоматизированная система управления технологическими процессами). Разработка веб-сервисов на Python. Построение микросервисной архитектуры на базе Docker. Создание сетевых сервисов... Мы не предъявляем требований к опыту работы, но нам нужны уверенные знания Python, проверяем их по тестовому заданию."
Python-разработчик,https://ekaterinburg.hh.ru/vacancy/30456616?query=python, СКБ Контур,"Проработка архитектурных решений и разработка сервисов с «0». Разработка API для взаимодействия с frontend и мобильным приложением. Разработка компонентов для... Участие в продуктовой разработке будет плюсом. Опыт продуктовой разработки на Python от двух лет. Знание и опыт применения MySQL, MongoDB. "
Python разработчик,https://ekaterinburg.hh.ru/vacancy/31061798?query=python,ООО СкайДНС,"Проектирование и разработка высоконагруженных веб-сервисов. Выполнение задач в соответствии с регламентом работ отдела. Хорошее знание языка Python. Хорошее знание какого либо веб фреймворка (django, flask, tornado, aiohttp и тп). Опыт работы с RDBMS..."
Разработчик Python (middle),https://ekaterinburg.hh.ru/vacancy/31265391?query=python, Сайтсофт,"Командная разработка крупного проекта. Разработка и проектирование компонентов проекта от идеи до воплощения Python, PostgreSQL, ElasticSearch, RabbitMQ. Оптимизация и рефакторинг... Опыт промышленной разработки на Python от 3х лет. Опыт многопоточного и асинхронного программирования. Опыт сетевого программирования; проектирования и разработки..."
Программист Python (middle),https://ekaterinburg.hh.ru/vacancy/30025136?query=python,ООО Строительный Двор,"использование тестов в процессе разработки, покрытие своего кода тестами. - работа в команде разработчиков. - качественное и своевременное исполнение задач web-проекта... опыт работы от 2+ года в разработке Python, или других языках. - практический опыт работы с операционными системами семейства *nix. - "
Разработчик Python / C (middle),https://ekaterinburg.hh.ru/vacancy/30223179?query=python,ООО Айдеко,"Системное программирование под Linux. Сетевое программирование. Разработка бекендов на python. Системное программирование. Работа в scrum-команде по разработке серийного ПО. Уверенные знания Python / С. Уверенные знания архитектуры Linux-систем, включая сетевую (Netfilter, iproute2). Опыт участия в открытых проектах. "
Junior Python разработчик,https://ekaterinburg.hh.ru/vacancy/28755864?query=python, Крона-КС,"Доработка и развитие наших облачных сервисов (фронт, бэк, мобильное приложение под iOS и Android), написание unit-тестов, участие в разработке... Знание Python. Понимание основных структур данных. Активное стремление профессионально развиваться и строить успешную карьеру в области разработки инновационного ПО. "
